Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4244.7,5093,0.5398,3.743,7.3356,0.8741,1,2.7964,1.8415,117.5358,38.6258,0.99,1,12.78,11.7907,0.0318,0.2075,0.2063,0.0015,0.4292,0.0986,0.0447,0.0047,-0.0816,0.5797,0.0921,0.0549,0.0125,-0.0497,0.3837,0.0912,0.0497,0.006,-0.0816,0.5797,0.0965,0.1809,0.182,0.0516,0.2958,0.062,0.0969,0.0792,-0.0268,0.4168,0.0857,0.0801,0.0551,-0.0064,0.2813,0.0734,0.0995,0.0831,-0.0268,0.4168,0.0863
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,4250.9,5097.9,0.5197,3.4944,7.1691,0.8544,1,2.8279,1.6552,116.7276,38.4844,0.9904,1,12.826,11.624,0.0299,0.1178,0.1213,-0.0417,0.2244,0.0663,0.0421,0.0039,-0.0795,0.5246,0.0871,0.0462,0.0098,-0.0527,0.399,0.0787,0.0444,0.0045,-0.0795,0.5246,0.0875,0.1318,0.1325,0.009,0.2477,0.0584,0.0708,0.0498,-0.0758,0.4234,0.0736,0.07,0.0445,-0.0082,0.3273,0.0783,0.0727,0.0528,-0.0758,0.4234,0.0739
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2274.9,7436.9,0.8152,12.5764,14.3043,0.7724,0.965,5.5406,3.3827,161.0924,45.593,0.9738,0.9978,15.5238,13.3494,0.0781,0.5597,0.4676,0.0294,1.344,0.3028,0.0637,0.0017,-0.1038,0.9242,0.1267,0.0366,0.0002,-0.0611,0.36,0.0728,0.1028,0.007,-0.1038,1.344,0.1996,0.2537,0.219,0.0053,0.7001,0.1547,0.0673,0.0308,-0.2141,0.5288,0.0881,0.0574,0.0079,-0.0163,0.2709,0.0764,0.082,0.0437,-0.2141,0.7001,0.1074
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2263.2,7455.4,0.775,16.6978,15.2235,0.9054,1,5.7785,3.8385,170.0166,46.5332,0.9867,1,15.7738,13.7894,0.0982,0.1318,0.1295,-0.0559,0.5426,0.1148,0.028,0,-0.0937,0.928,0.0866,0.0198,0,-0.0488,0.6398,0.0751,0.0381,0,-0.0937,0.928,0.0948,0.1114,0.108,-0.0339,0.2852,0.0616,0.0365,0.0027,-0.2532,0.3898,0.0649,0.0187,0,-0.1717,0.3429,0.0558,0.0438,0.0054,-0.2532,0.3898,0.0683
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2258,7451.8,0.7324,23.213,17.5351,0.9487,1,6.3205,4.7919,188.0223,48.8497,0.9901,1,16.3107,14.7281,0.1235,0.0494,0.0364,-0.0594,0.3026,0.0617,0.0208,0,-0.0825,0.8924,0.0691,0.0255,0,-0.0332,0.3856,0.0671,0.0243,0,-0.0825,0.8924,0.0689,0.0818,0.0869,-0.053,0.2738,0.0663,0.0207,0,-0.1789,0.3664,0.0488,0.0223,0,-0.0929,0.2852,0.0557,0.0282,0.0013,-0.1789,0.3664,0.055
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2276.1,7442.1,0.6982,5.1483,9.2553,0.7553,0.9953,3.683,1.8714,128.6268,40.5583,0.9826,1,13.6798,11.8006,0.04,0.3776,0.3367,0.0559,0.8834,0.1837,0.074,0.0005,-0.1026,1.3738,0.1957,0.0526,0,-0.0718,0.6488,0.1357,0.086,0.001,-0.1026,1.3738,0.204,0.1098,0.0891,-0.0692,0.3474,0.1085,0.0643,0.0249,-0.2192,0.7033,0.104,0.0433,0.0077,-0.1594,0.4148,0.0762,0.0661,0.0269,-0.2192,0.7033,0.1045
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2266.9,7439.8,0.6929,4.8668,8.7648,0.7961,0.9799,3.4374,2.0638,125.9337,40.0521,0.9865,1,13.4006,12.0109,0.0386,0.3232,0.2972,0,0.8595,0.2077,0.0501,0,-0.1354,1.5222,0.1444,0.0416,0,-0.0394,0.7167,0.1215,0.0606,0,-0.1354,1.5222,0.1565,0.0436,0.0182,-0.1561,0.4015,0.1266,0.0348,0.0027,-0.5059,0.4788,0.076,0.028,0.0013,-0.222,0.3048,0.0697,0.0351,0.0027,-0.5059,0.4788,0.0785
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2283.9,7459.4,0.6907,6.4357,10.1343,0.7874,0.9733,4.103,2.1867,134.3459,41.4189,0.9841,0.9993,14.0964,12.1268,0.0479,0.2759,0.2473,0.0455,0.669,0.1354,0.0191,0,-0.0537,0.3445,0.0514,0.0086,0,-0.0433,0.2476,0.0326,0.0315,0,-0.0537,0.669,0.0802,0.1389,0.1435,-0.0566,0.2645,0.0739,0.0166,0,-0.0578,0.2421,0.039,0.0121,0.0013,-0.0465,0.1822,0.0313,0.0225,0,-0.0578,0.2645,0.049
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2262.9,7444.5,0.6702,4.0056,7.9934,0.7878,1,3.1656,1.6858,120.9568,39.2747,0.9854,1,13.1539,11.5601,0.0331,0.4706,0.354,0.0033,1.5203,0.3854,0.0307,0,-0.1388,0.9149,0.1033,0.0344,0,-0.0436,0.6826,0.1012,0.0453,0,-0.1388,1.5203,0.1462,0.026,-0.0451,-0.4963,0.4724,0.2265,0.0227,0.0001,-0.2133,0.3973,0.0597,0.0294,0.0005,-0.0445,0.3973,0.0679,0.0228,0,-0.4963,0.4724,0.0716
V19-18;#338;Ebene B - 2021-01-29 20.34.42.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2271.1,7436.3,0.6206,4.9776,8.9781,0.776,0.9558,3.5061,2.0835,126.9158,40.1774,0.988,0.9999,13.4982,12.024,0.0392,0.3787,0.3362,0.0033,0.9242,0.1852,0.0957,0.0005,-0.0986,1.344,0.2062,0.043,0,-0.0958,0.8255,0.1215,0.1069,0.0017,-0.0986,1.344,0.2126,0.0971,0.0821,-0.1237,0.3619,0.127,0.0692,0.0087,-0.1583,0.7001,0.109,0.0504,0.0013,-0.129,0.6046,0.0985,0.0703,0.0115,-0.1583,0.7001,0.1099
