Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3467.3,2587.1,0.8706,26.7449,19.1292,0.9185,1,7.163,5.0092,199.4485,50.4405,0.9851,1,17.1517,14.9768,0.1341,0.3553,0.3521,0.1747,0.4968,0.0585,0.0629,0.0438,-0.0442,0.6624,0.081,0.06,0.05,-0.0395,0.2915,0.0589,0.1021,0.0578,-0.0442,0.6624,0.1267,0.3427,0.3524,0.1177,0.4644,0.059,0.088,0.083,-0.0626,0.4601,0.0723,0.0997,0.1048,0,0.3354,0.0638,0.1221,0.0959,-0.0626,0.4644,0.1119
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3735.3,2546.6,0.8705,11.0365,12.216,0.9294,1,4.3323,3.3128,149.4306,43.5408,0.9905,1,14.3279,13.2357,0.0739,0.2822,0.2869,0.0686,0.5159,0.0857,0.0744,0.0404,-0.0643,0.5541,0.0997,0.0497,0.0166,-0.0364,0.326,0.0787,0.0896,0.0478,-0.0643,0.5541,0.1126,0.2412,0.2612,0.0333,0.3487,0.0657,0.1104,0.0977,-0.0642,0.4299,0.0964,0.0959,0.0672,-0.0004,0.3572,0.0881,0.1199,0.1103,-0.0642,0.4299,0.1004
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3514.2,2606.6,0.8684,33.9901,21.0583,0.9632,1,7.1834,6.2452,216.382,52.3825,0.991,1,17.1829,16.1987,0.1571,0.3287,0.3325,0.0173,0.4899,0.0732,0.0837,0.0411,-0.0728,1.1446,0.121,0.0975,0.0487,-0.0208,0.4031,0.1167,0.122,0.0577,-0.0728,1.1446,0.1453,0.3238,0.3235,0.1053,0.499,0.0601,0.1067,0.0818,-0.0683,0.5925,0.1153,0.1465,0.1163,-0,0.4686,0.117,0.1406,0.1,-0.0683,0.5925,0.1341
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2686.6,2410.8,0.868,12.6007,12.8425,0.9601,1,4.3759,3.8418,154.216,44.1755,0.9931,1,14.371,13.8092,0.0817,0.3739,0.3862,0.0807,0.6239,0.1103,0.0775,0.0168,-0.0452,0.6109,0.1077,0.0188,0,-0.0345,0.1881,0.0451,0.1011,0.0359,-0.0452,0.6239,0.1345,0.3294,0.3574,0.0908,0.5375,0.1002,0.103,0.0322,-0.0468,0.4927,0.1235,0.0112,0,-0.0297,0.2352,0.0393,0.1211,0.0658,-0.0468,0.5375,0.1363
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2450.1,2391.6,0.8676,22.3792,16.9336,0.9807,1,5.6135,5.2264,184.177,48.243,0.9944,1,15.6071,15.1398,0.1215,0.4229,0.4175,0.1815,0.68,0.0872,0.0956,0.0004,-0.1718,0.7283,0.1428,0.0914,0,-0.0442,0.6632,0.1613,0.1353,0.0313,-0.1718,0.7283,0.1739,0.3654,0.3872,-0.111,0.6672,0.1143,0.1449,0.0358,-0.1013,0.6466,0.1699,0.0927,0.0056,-0.0184,0.4978,0.1508,0.1716,0.1154,-0.111,0.6672,0.1792
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2864.9,2450.4,0.8673,32.1328,21.132,0.9042,0.993,7.9791,5.5045,214.866,52.4372,0.982,0.9991,17.9541,15.4569,0.1495,0.1471,0.1477,0.0056,0.2853,0.0421,0.0822,0.0185,-0.0334,0.6466,0.1242,0.0936,0.0232,-0.0294,0.6466,0.1379,0.0919,0.0482,-0.0334,0.6466,0.118,0.2045,0.2055,-0.0075,0.3699,0.0588,0.1134,0.0604,-0.0164,0.677,0.1386,0.1229,0.0966,-0.0164,0.677,0.1391,0.127,0.1027,-0.0164,0.677,0.1338
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3225.7,2554.4,0.8673,24.4039,17.7852,0.9695,1,5.9546,5.4254,190.4594,49.0965,0.9929,1,15.948,15.4202,0.1281,0.3703,0.3663,0.0798,0.7525,0.1031,0.0464,0.0257,-0.1135,0.4155,0.0669,0.0379,0.009,-0.0536,0.2794,0.0528,0.0879,0.0396,-0.1135,0.7525,0.1304,0.3298,0.3581,-0.0421,0.5613,0.1126,0.0793,0.0687,-0.0464,0.5215,0.0816,0.0541,0.0424,-0.019,0.3228,0.0594,0.1114,0.0794,-0.0464,0.5613,0.1202
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3582.1,2523,0.8665,19.4707,16.2273,0.9292,1,6.1085,4.1196,177.648,47.5313,0.9881,1,16.0919,14.0585,0.1096,0.3564,0.3488,0.1228,0.6463,0.1056,0.0765,0.0345,-0.0398,0.6021,0.1028,0.0814,0.0022,-0.0275,0.3735,0.1297,0.1068,0.0538,-0.0398,0.6463,0.1349,0.3143,0.3168,0.1148,0.4981,0.0699,0.1006,0.0683,-0.0555,0.4454,0.1041,0.0854,0.0112,-0.05,0.4075,0.1219,0.1238,0.091,-0.0555,0.4981,0.1209
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3247.2,2531.8,0.8645,16.956,15.3312,0.9065,0.9901,5.4334,4.1709,170.6443,46.6248,0.9864,0.9992,15.4247,14.1238,0.0994,0.2917,0.3035,0,0.5058,0.1139,0.0189,0,-0.0702,0.376,0.0562,0.0209,0.0002,-0.0217,0.3336,0.0558,0.0459,0,-0.0702,0.5058,0.1037,0.2626,0.3095,-0.0777,0.4459,0.1248,0.0282,0,-0.0604,0.4716,0.0676,0.0157,0.0012,-0.0146,0.181,0.0333,0.0513,0.0012,-0.0777,0.4716,0.1027
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3486.6,2558.9,0.8642,36.9416,22.2654,0.9364,1,8.1368,5.81,225.3105,53.5759,0.9864,1,18.1266,15.8098,0.164,0.3914,0.3667,0.0956,0.7883,0.1095,0.0563,0.0024,-0.0675,0.61,0.0874,0.0461,0.0066,-0.0337,0.2566,0.0661,0.1112,0.0264,-0.0675,0.7883,0.1541,0.3562,0.3643,-0.0484,0.6592,0.0929,0.0611,0.0076,-0.0649,0.6064,0.0895,0.0583,0.0114,-0.0179,0.2866,0.0754,0.1094,0.0238,-0.0649,0.6592,0.1416
